org,cmpnd,log_slope
Kineosphaera limosa,7Ph heptanoate,1.5281710601425185
Kineosphaera limosa,Butoxy,1.4828605048938874
Kineosphaera limosa,heptynoate,1.445956680130474
Kocuria flava,Azido,1.6673239173715295
Kocuria flava,Biotin,1.1467376960090334
Kocuria flava,Butoxy,0.873801883443014
Kocuria flava,heptynoate,1.6942965022282204
Kocuria flava,hexanoate,2.088565625940785
Kocuria varians,7Ph heptanoate,1.6562068039459668
Kocuria varians,Azido,2.1469175940157714
Kocuria varians,Biotin,0.9280673991936703
Kocuria varians,ClPh propionate,1.6110497486209587
Kocuria varians,decanoate,1.7993405494535817
Kocuria varians,dimethyl,1.642703263023132
Kocuria varians,heptynoate,2.076633804877642
Kocuria varians,hexanoate,1.9207004078428822
Kytococcus sedentarius,7Ph heptanoate,2.3436451846499287
Kytococcus sedentarius,Azido,2.8921787472704388
Kytococcus sedentarius,benzoate,1.6169409975507387
Kytococcus sedentarius,Biotin,1.5893343683784322
Kytococcus sedentarius,Butoxy,2.908475939962973
Kytococcus sedentarius,ClPh propionate,1.8434273649809398
Kytococcus sedentarius,decanoate,2.182984967003582
Kytococcus sedentarius,dimethyl,1.713590961136086
Kytococcus sedentarius,dodecanoate,1.7190749753832015
Kytococcus sedentarius,heptynoate,2.772956817505329
Kytococcus sedentarius,hexanoate,3.08050831152996
Kytococcus sedentarius,TMA,1.6596116937812713
Legionella brunensis,heptynoate,1.6614151667774937
Leifsonia sp. Leaf325,Azido,1.6148251795078938
Leifsonia sp. Leaf325,heptynoate,2.0171954544161443
Leifsonia sp. Leaf325,hexanoate,1.6266169302583755
Luteimonas tolerans,Azido,1.8473059261263791
Luteimonas tolerans,Butoxy,1.9999637788666682
Luteimonas tolerans,heptynoate,2.0623107232958002
Luteimonas tolerans,hexanoate,2.1466449522360813
Microlunatus phosphovorus,Azido,1.4447737632895457
Microlunatus phosphovorus,heptynoate,1.594359016478039
Micromonospora avicenniae,7Ph heptanoate,1.3909987931034262
Micromonospora avicenniae,Butoxy,1.4024819501650188
Micromonospora avicenniae,heptynoate,1.514897495277498
Micromonospora peucetia,7Ph heptanoate,1.5609095935481923
Micromonospora peucetia,Azido,1.940594609074407
Micromonospora peucetia,dodecanoate,1.6826162146235542
Micromonospora peucetia,heptynoate,2.2669077294120625
Micromonospora peucetia,hexanoate,1.7229457677960227
Mobilicoccus massiliensis,7Ph heptanoate,1.9544329998629584
Mobilicoccus massiliensis,Azido,2.3961831337132278
Mobilicoccus massiliensis,Butoxy,2.394259402808562
Mobilicoccus massiliensis,ClPh propionate,1.8881739429849496
Mobilicoccus massiliensis,decanoate,1.6354837468149122
Mobilicoccus massiliensis,dimethyl,1.7859462499092975
Mobilicoccus massiliensis,dodecanoate,1.7867431115207988
Mobilicoccus massiliensis,heptynoate,2.489168645793911
Mobilicoccus massiliensis,hexanoate,2.5611529561229327
Mobilicoccus massiliensis,TMA,1.7518524849650416
Mycolicibacterium obuense,7Ph heptanoate,1.4117751710893187
Mycolicibacterium obuense,Butoxy,1.6176426383701608
Mycolicibacterium obuense,ClPh propionate,1.6565958745957714
Mycolicibacterium obuense,heptynoate,1.805514890960595
Mycolicibacterium obuense,hexanoate,1.7585384756379063
Nakamurella multipartita,Butoxy,1.784420509976391
Nakamurella multipartita,heptynoate,1.8362074447668764
Nesterenkonia alba,7Ph heptanoate,1.2657250910911548
Nesterenkonia alba,ClPh propionate,1.6943660510936054
Nesterenkonia alba,heptynoate,1.795766949311566
Nonomuraea candida,Butoxy,1.8252042860431474
Okibacterium fritillariae,heptynoate,2.0742636775907064
Okibacterium fritillariae,hexanoate,1.6042449029042065
Paenibacillus polysaccharolyticus,Butoxy,1.6265989238259477
Paenibacillus polysaccharolyticus,heptynoate,1.5429503630648245
Paenibacillus polysaccharolyticus,hexanoate,1.3637959899661063
Pelobacter propionicus DSM 2379,Azido,1.2721809438186995
