cid,cmpnd
538288,3-Hydroxy-3-methylpentanoic acid
12586559,Methyl trimethoxyacetate
14073324,3-(Dimethylamino)-2-methylpropanoic acid
21935982,3-(Dimethylamino)butanoic acid
243,Benzoic acid
298173,"4-Bromo-2,3,5,6-tetrafluorobenzoic acid"
2733983,"2,3,4,5-Tetrafluoro-6-nitrobenzoic acid"
11770,"2,3,4,5,6-Pentafluorobenzoic acid"
2734269,"3-Chloro-2,4,5-trifluorobenzoic acid"
2734259,"2,4-Dichloro-5-fluoro-3-nitrobenzoic acid"
297549,"2,3,4,5-Tetrafluorobenzoic acid"
98835,"2,3,5,6-Tetrafluoro-4-hydroxybenzoic acid"
2782789,"2-Bromo-4,5-difluorobenzoic acid"
3769937,"2-Bromo-3,5-dinitrobenzoic acid"
151915,"2,4,6-Tribromo-3-hydroxybenzoic acid"
737171,"2-Chloro-4,5-difluorobenzoic acid"
2733274,"4-Chloro-2,5-difluorobenzoic acid"
8377,"4-Chloro-3,5-dinitrobenzoic acid"
6951,"2,5-Dichloro-3-nitrobenzoic acid"
350623,"2,6-Dichloro-3-nitrobenzoic acid"
66121,"2,3,5-Trichlorobenzoic acid"
5764,"2,4,6-Trichlorobenzoic acid"
4219630,"4,5-Difluoro-2-nitrobenzoic acid"
302932,"2,3,4-Trifluorobenzoic acid"
520062,"2,3,6-Trifluorobenzoic acid"
521170,"2,4,5-Trifluorobenzoic acid"
853154,"3,4,5-Trifluorobenzoic acid"
2734270,"3-Hydroxy-2,4,5-trifluorobenzoic acid"
6948,"2,3,5-Triiodobenzoic acid"
33126,2-Bromo-4-chlorobenzoic acid
89027,2-Bromo-5-chlorobenzoic acid
33125,2-Bromo-6-chlorobenzoic acid
2735544,3-Bromo-4-chlorobenzoic acid
108829,4-Bromo-2-chlorobenzoic acid
12594302,4-Bromo-3-chlorobenzoic acid
33127,5-Bromo-2-chlorobenzoic acid
1268169,2-Bromo-4-fluorobenzoic acid
2778181,2-Bromo-5-fluorobenzoic acid
70509,3-Bromo-4-fluorobenzoic acid
302681,4-Bromo-2-fluorobenzoic acid
2736315,5-Bromo-2-fluorobenzoic acid
2735572,2-Bromo-5-iodobenzoic acid
5182520,3-Bromo-5-iodobenzoic acid
302939,5-Bromo-2-iodobenzoic acid
68452,2-Bromo-3-nitrobenzoic acid
243025,2-Bromo-5-nitrobenzoic acid
16218087,3-Bromo-4-nitrobenzoic acid
3774467,4-Bromo-2-nitrobenzoic acid
232986,4-Bromo-3-nitrobenzoic acid
12063,"3,5-Dibromobenzoic acid"
18464,"3,5-Dibromosalicylic acid"
75259,2-Chloro-4-fluorobenzoic acid
302931,3-Chloro-2-fluorobenzoic acid
99152,4-Chloro-2-fluorobenzoic acid
2736537,5-Chloro-2-fluorobenzoic acid
821264,2-Chloro-4-iodobenzoic acid
519638,2-Chloro-5-iodobenzoic acid
139452,4-Chloro-2-iodobenzoic acid
19870,2-Chloro-3-nitrobenzoic acid
17287,2-Chloro-5-nitrobenzoic acid
20902,3-Chloro-2-nitrobenzoic acid
80475,4-Chloro-2-nitrobenzoic acid
7320,4-Chloro-3-nitrobenzoic acid
17286,5-Chloro-2-nitrobenzoic acid
5765,"2,3-Dichlorobenzoic acid"
5787,"2,4-Dichlorobenzoic acid"
5784,"2,5-Dichlorobenzoic acid"
5758,"2,6-Dichlorobenzoic acid"
5817,"3,4-Dichlorobenzoic acid"
5811,"3,5-Dichlorobenzoic acid"
18749,"3,5-Dichloro-4-hydroxybenzoic acid"
9445,"3,5-Dichlorosalicylic acid"
2778925,2-Fluoro-5-iodobenzoic acid
2733302,2-Fluoro-6-iodobenzoic acid
12520164,4-Fluoro-2-iodobenzoic acid
13158583,5-Fluoro-2-iodobenzoic acid
280997,2-Fluoro-5-nitrobenzoic acid
2737416,4-Fluoro-2-nitrobenzoic acid
67987,4-Fluoro-3-nitrobenzoic acid
2737420,5-Fluoro-2-nitrobenzoic acid
370590,"2,3-Difluorobenzoic acid"
74102,"2,4-Difluorobenzoic acid"
76339,"2,5-Difluorobenzoic acid"
9796,"2,6-Difluorobenzoic acid"
99166,"3,4-Difluorobenzoic acid"
458964,2-Iodo-4-nitrobenzoic acid
26549,"2,5-Diiodobenzoic acid"
8631,"3,5-Diiodosalicylic acid"
11880,"2,4-Dinitrobenzoic acid"
11879,"2,5-Dinitrobenzoic acid"
7433,"3,5-Dinitrobenzoic acid"
11873,"3,5-Dinitrosalicylic acid"
6940,2-Bromobenzoic acid
11456,3-Bromobenzoic acid
11464,4-Bromobenzoic acid
84368,3-Bromo-4-hydroxybenzoic acid
15735511,3-Bromo-5-hydroxybenzoic acid
268737,4-Bromo-2-hydroxybenzoic acid
6972,5-Bromosalicylic acid
81814,"5-Bromo-2,4-dihydroxybenzoic acid"
8374,2-Chlorobenzoic acid
447,3-Chlorobenzoic acid
6318,4-Chlorobenzoic acid
19860,3-Chloro-4-hydroxybenzoic acid
74585,3-Chlorosalicylic acid
78782,4-Chlorosalicylic acid
9447,5-Chlorosalicylic acid
9935,2-Fluorobenzoic acid
9968,3-Fluorobenzoic acid
9973,4-Fluorobenzoic acid
586777,2-Fluoro-6-hydroxybenzoic acid
160456,3-Fluoro-4-hydroxybenzoic acid
593635,4-Fluoro-3-hydroxybenzoic acid
67661,4-Fluorosalicylic acid
67658,5-Fluorosalicylic acid
50989692,2-Amino-5-(trifluoromethyl)nicotinic acid
6941,2-Iodobenzoic acid
12060,3-Iodobenzoic acid
12085,4-Iodobenzoic acid
72874,2-Hydroxy-4-iodobenzoic acid
736854,3-Hydroxy-4-iodobenzoic acid
8388,5-Iodosalicylic acid
11087,2-Nitrobenzoic acid
8497,3-Nitrobenzoic acid
6108,4-Nitrobenzoic acid
69266,2-Hydroxy-4-nitrobenzoic acid
7318,2-Hydroxy-5-nitrobenzoic acid
69265,3-Hydroxy-4-nitrobenzoic acid
820393,3-Hydroxy-5-nitrobenzoic acid
6807,3-Nitrosalicylic acid
12033,4-Hydroxy-3-nitrobenzoic acid
