Time,variable,value
23,B3.1,0.00554527830642737
24,B3.1,0.01441772359671134
25,B3.1,0.03216261417728061
26,B3.1,0.02661733587085302
27,B3.1,0.046580337773993064
28,B3.1,0.054343727402990094
29,B3.1,0.0598890057094188
30,B3.1,0.033271669838566
31,B3.1,0.054343727402990316
32,B3.1,0.023290168886995755
33,B3.1,0.05656183872556264
34,B3.1,0.05656183872556264
35,B3.1,0.05877995004813319
36,B3.1,0.06987050666098904
37,B3.1,0.07541578496741597
38,B3.1,0.08539728591898621
39,B3.1,0.06987050666098815
40,B3.1,0.10092406517698338
41,B3.1,0.09648784253184095
42,B3.1,0.08983350856412775
43,B3.1,0.066543339677132
44,B3.1,0.10536028782212536
45,B3.1,0.10425123216083954
46,B3.1,0.09981500951569666
47,B3.1,0.08539728591898532
48,B3.1,0.07208861798355981
49,B3.1,0.06432522835456034
50,B3.1,0.06321617269327628
51,B3.1,0.028835447193423125
52,B3.1,0.06432522835456123
53,B3.1,0.0621071170319909
54,B3.1,0.08096106327384422
55,B3.1,0.0731976736448452
56,B3.1,0.07319767364484386
57,B3.1,0.06876145099970277
58,B3.1,0.024399224548280696
59,B3.1,0.04103505946756503
60,B3.1,0.055452783064277256
0,D3.1,0.34935253330494165
1,D3.1,0.03881694814499248
2,D3.1,0.07652484062870135
3,D3.1,0.0898335085641282
4,D3.1,0.01552677925799717
5,D3.1,-0.009981500951568911
6,D3.1,-0.06765239533841783
7,D3.1,-0.13086856803169278
8,D3.1,-0.133086679354264
9,D3.1,-0.08428823025769905
10,D3.1,-0.026617335870853687
11,D3.1,0.08317917459641455
12,D3.1,0.25619185775695685
13,D3.1,0.36598836822422554
14,D3.1,0.3770789248370785
15,D3.1,0.4735667673689212
16,D3.1,0.4990750475784873
17,D3.1,0.5578549976266216
18,D3.1,0.6798511203680295
19,D3.1,0.6288345599488951
20,D3.1,0.5755998882071887
21,D3.1,0.567836498578191
22,D3.1,0.588908556142616
23,D3.1,0.5711636655620476
24,D3.1,0.5767089438684745
25,D3.1,0.572272721223333
26,D3.1,0.6232892816424673
27,D3.1,0.6354888939166088
28,D3.1,0.6576700071423178
29,D3.1,0.6998141222711682
30,D3.1,0.7120137345453093
31,D3.1,0.7475035157064465
32,D3.1,0.7497216270290172
33,D3.1,0.81848307802872
34,D3.1,0.8229193006738629
35,D3.1,0.8683905827865694
36,D3.1,0.8894626403509949
37,D3.1,0.9293886441572732
38,D3.1,0.9482425903991278
39,D3.1,0.9737508706086944
40,D3.1,1.0292036536729707
41,D3.1,1.0070225404472604
42,D3.1,1.0258764866891146
43,D3.1,1.025876486689115
44,D3.1,1.051384766898682
45,D3.1,1.097965104672674
46,D3.1,1.1367820528176673
47,D3.1,1.130127718849954
48,D3.1,1.147872609430523
49,D3.1,1.1556359990595215
50,D3.1,1.1744899453013762
51,D3.1,1.1545269433982353
52,D3.1,1.1999982255109432
53,D3.1,1.2066525594786564
54,D3.1,1.2499057302687913
55,D3.1,1.2410332849785073
56,D3.1,1.2842864557686409
57,D3.1,1.2632143982042168
