Time,variable,value
58,H3.1,0.3171899191276628
59,H3.1,0.30831747383737795
60,H3.1,0.31053558515994784
0,C4.1,0.35933403425651056
1,C4.1,0.20073907469268049
2,C4.1,0.13863195766069047
3,C4.1,0.13974101332197675
4,C4.1,0.25619185775695597
5,C4.1,0.39038759277250534
6,C4.1,0.43807698620778357
7,C4.1,0.4414041531916397
8,C4.1,0.5234742721267698
9,C4.1,0.7275405138033069
10,C4.1,0.77633896289987
11,C4.1,0.7608121836418724
12,C4.1,0.8706086941091402
13,C4.1,0.8617362488188558
14,C4.1,0.8018472431094374
15,C4.1,0.7641393506257295
16,C4.1,0.747503515706446
17,C4.1,0.7242133468194498
18,C4.1,0.7153409015291663
19,C4.1,0.7707936845934418
20,C4.1,0.7874295195127257
21,C4.1,0.7763389628998714
22,C4.1,0.7963019648030096
23,C4.1,0.7619212393031582
24,C4.1,0.7608121836418729
25,C4.1,0.7275405138033078
26,C4.1,0.7452854043838757
27,C4.1,0.7164499571904521
28,C4.1,0.7131227902065955
29,C4.1,0.723104291158164
30,C4.1,0.7064684562388832
31,C4.1,0.6987050666098833
32,C4.1,0.7009231779324541
33,C4.1,0.6876145099970277
34,C4.1,0.6643243411100319
35,C4.1,0.6831782873518844
36,C4.1,0.6831782873518857
37,C4.1,0.6842873430131711
38,C4.1,0.677633009045457
39,C4.1,0.7009231779324532
40,C4.1,0.6743058420616022
41,C4.1,0.6820692316906003
42,C4.1,0.6676515080938876
43,C4.1,0.7031412892550257
44,C4.1,0.6987050666098837
45,C4.1,0.7075775119001668
46,C4.1,0.7208861798355923
47,C4.1,0.7142318458678809
48,C4.1,0.7097956232227376
49,C4.1,0.7219952354968799
50,C4.1,0.747503515706446
51,C4.1,0.7219952354968795
52,C4.1,0.7419582374000178
53,C4.1,0.7452854043838757
54,C4.1,0.7375220147548784
55,C4.1,0.7375220147548753
56,C4.1,0.7763389628998691
57,C4.1,0.7741208515772984
58,C4.1,0.7741208515772993
59,C4.1,0.7841023525288691
60,C4.1,0.7763389628998709
0,D4.1,0.6133077806908971
1,D4.1,0.5811451665136174
2,D4.1,0.5334557730783387
3,D4.1,0.49907504757848864
4,D4.1,0.5434372740299085
5,D4.1,0.6232892816424656
