Time,variable,value
12,C7.2,0.584472333497474
13,C7.2,0.6454703948681773
14,C7.2,0.8107196883997214
15,C7.2,0.7874295195127261
16,C7.2,0.8406641912544308
17,C7.2,0.8240283563351478
18,C7.2,0.7475035157064465
19,C7.2,0.7741208515772988
20,C7.2,0.7275405138033064
21,C7.2,0.693159788303455
22,C7.2,0.7131227902065946
23,C7.2,0.7097956232227376
24,C7.2,0.7142318458678809
25,C7.2,0.7042503449163102
26,C7.2,0.6975960109485984
27,C7.2,0.6044353354006122
28,C7.2,0.5977810014328999
29,C7.2,0.5212561608041968
30,C7.2,0.5556368863040508
31,C7.2,0.5012931589010585
32,C7.2,0.49796599191720237
33,C7.2,0.5001841032397727
34,C7.2,0.46469432207863637
35,C7.2,0.4735667673689221
36,C7.2,0.4336407635626407
37,C7.2,0.45693093244963734
38,C7.2,0.4569309324496378
39,C7.2,0.4314226522400708
40,C7.2,0.42809548525621377
41,C7.2,0.43364076356264203
42,C7.2,0.43918604186906895
43,C7.2,0.42144115128850057
44,C7.2,0.4602580994334944
45,C7.2,0.42476831827235895
46,C7.2,0.42587737393364433
47,C7.2,0.4059143720305043
48,C7.2,0.39260570409507745
49,C7.2,0.4025872050466477
50,C7.2,0.3670974238855096
51,C7.2,0.3870604257886501
52,C7.2,0.36487931256294104
53,C7.2,0.3903875927725071
54,C7.2,0.3415891436759422
55,C7.2,0.3393710323533723
56,C7.2,0.36155214557908266
57,C7.2,0.32828047574051844
58,C7.2,0.3360438653695148
59,C7.2,0.36044308991779683
60,C7.2,0.33382575404694403
0,C8.2,-0.04103505946756458
1,C8.2,0.15859495956382963
2,C8.2,0.24177413416024507
3,C8.2,0.22513829924096118
4,C8.2,0.2062843529991083
5,C8.2,0.11423273311241022
6,C8.2,0.1574859039025447
7,C8.2,0.1696855161766866
8,C8.2,0.216265853950679
9,C8.2,0.15859495956383096
10,C8.2,0.1918666294023974
11,C8.2,0.29057258325680957
12,C8.2,0.3138627521438049
13,C8.2,0.32717142007923083
14,C8.2,0.46358526641735054
15,C8.2,0.4292045409174996
16,C8.2,0.43142265224007126
17,C8.2,0.4170049286433599
18,C8.2,0.31829897478894686
19,C8.2,0.32938953140180294
20,C8.2,0.2606280804020993
21,C8.2,0.21404774262810777
22,C8.2,0.1508315699348315
23,C8.2,0.17190362749925692
24,C8.2,0.13641384633812104
25,C8.2,0.09981500951569666
26,C8.2,0.0865063415802716
27,C8.2,0.03438072549985005
28,C8.2,-0.022181113225710813
29,C8.2,-0.07652484062870135
30,C8.2,-0.01219961227414057
31,C8.2,-0.043253170790135353
32,C8.2,-0.06987050666098771
33,C8.2,-0.09870595385441217
34,C8.2,-0.08983350856412775
35,C8.2,-0.11645084443497966
36,C8.2,-0.14306818030583468
37,C8.2,-0.16524929353154327
38,C8.2,-0.1375229019994051
39,C8.2,-0.16635834919282866
40,C8.2,-0.20073907469268182
41,C8.2,-0.16524929353154416
42,C8.2,-0.2262473549022488
43,C8.2,-0.20406624167653753
44,C8.2,-0.22846546622481867
45,C8.2,-0.26173713606338334
46,C8.2,-0.2861363606116667
47,C8.2,-0.280591082305238
48,C8.2,-0.28835447193423747
49,C8.2,-0.33382575404694403
50,C8.2,-0.34713442198237265
51,C8.2,-0.3682064795467963
52,C8.2,-0.3948238154176482
53,C8.2,-0.3792970361596497
54,C8.2,-0.4136777616595033
55,C8.2,-0.4336407635626407
56,C8.2,-0.4114596503369299
57,C8.2,-0.4469494314980671
58,C8.2,-0.46469432207863637
59,C8.2,-0.4713486560463487
60,C8.2,-0.4813301569979189
0,C9.2,-0.20739340866039457
1,C9.2,-0.1585949595638314
2,C9.2,-0.10868745480598196
3,C9.2,-0.060998061370704626
4,C9.2,0.01885394624185377
5,C9.2,0.058779950048133855
6,C9.2,0.21515679828939227
7,C9.2,0.2706095813536691
8,C9.2,0.43585887488521324
9,C9.2,0.454712821127067
10,C9.2,0.5035112702236315
11,C9.2,0.53345577307834
12,C9.2,0.687614509997029
13,C9.2,0.7519397383515884
14,C9.2,0.8650634158027128
15,C9.2,0.9593331470119821
16,C9.2,1.0646934348341075
17,C9.2,1.1456544981079517
18,C9.2,1.1001832159952443
19,C9.2,1.1977801141883706
20,C9.2,1.2221793387366517
21,C9.2,1.2332698953495074
22,C9.2,1.2743049548170715
23,C9.2,1.3064675689943535
24,C9.2,1.3397392388329186
25,C9.2,1.370792797348913
26,C9.2,1.4096097454939072
27,C9.2,1.4251365247519034
28,C9.2,1.449535749300186
29,C9.2,1.4428814153324723
30,C9.2,1.4938979757516075
31,C9.2,1.5138609776547467
32,C9.2,1.5338239795578867
33,C9.2,1.5449145361707415
34,C9.2,1.5582232041061679
35,C9.2,1.5804043173318791
36,C9.2,1.5693137607190222
37,C9.2,1.6147850428317305
38,C9.2,1.6214393767994428
39,C9.2,1.6303118220897277
40,C9.2,1.6358571003961542
41,C9.2,1.6469476570090098
42,C9.2,1.6513838796541522
43,C9.2,1.6669106589121494
44,C9.2,1.6735649928798626
45,C9.2,1.6702378258960069
46,C9.2,1.6713468815572936
47,C9.2,1.6658016032508645
48,C9.2,1.6746740485411493
49,C9.2,1.6558201022992938
50,C9.2,1.652492935315438
51,C9.2,1.6824374381701466
52,C9.2,1.6613653806057238
53,C9.2,1.685764605154005
54,C9.2,1.678001215525005
55,C9.2,1.7012913844120012
56,C9.2,1.7234724976377125
57,C9.2,1.7123819410248586
58,C9.2,1.72125438631514
59,C9.2,1.7301268316054257
60,C9.2,1.7478717221859936
0,C10.2,0.9959319838344038
1,C10.2,1.0780021027695326
2,C10.2,1.1001832159952443
3,C10.2,1.0635843791728203
4,C10.2,1.0813292697533905
5,C10.2,0.913861864899276
6,C10.2,0.8650634158027128
7,C10.2,0.7031412892550253
8,C10.2,0.7120137345453093
9,C10.2,0.5789270551910457
10,C10.2,0.5744908325459046
11,C10.2,0.6377070052391796
12,C10.2,0.6698696194164602
13,C10.2,0.6654333967713164
14,C10.2,0.7663574619483007
15,C10.2,0.6920507326421697
16,C10.2,0.7541578496741597
17,C10.2,0.6621062297874611
18,C10.2,0.642143227884322
19,C10.2,0.7719027402547285
20,C10.2,0.7951929091417234
21,C10.2,0.8184830780287196
22,C10.2,0.8373370242705733
23,C10.2,0.8340098572867176
24,C10.2,0.8927898073348506
25,C10.2,0.8550819148511426
26,C10.2,0.835118912948003
27,C10.2,0.7486125713677314
28,C10.2,0.7419582374000186
29,C10.2,0.6743058420615999
30,C10.2,0.6920507326421697
31,C10.2,0.6765239533841729
32,C10.2,0.6255073929650381
33,C10.2,0.6166349476747532
34,C10.2,0.6133077806908975
35,C10.2,0.6077625023844706
36,C10.2,0.5168199381590548
37,C10.2,0.44473132017549766
38,C10.2,0.33493480970822986
39,C10.2,0.20628435299911008
40,C10.2,0.15194062559611643
41,C10.2,0.13752290199940598
42,C10.2,0.16081307088640084
43,C10.2,0.15748590390254513
44,C10.2,0.11866895575755132
45,C10.2,0.0820701189351305
46,C10.2,0.08872445290284325
47,C10.2,0.06987050666098948
48,C10.2,0.04768939343527778
49,C10.2,0.042144115128849524
50,C10.2,0.036598836822422154
51,C10.2,0.08428823025769994
52,C10.2,0.11755990009626727
53,C10.2,0.16968551617668703
54,C10.2,0.1497225142735461
55,C10.2,0.14417723596712007
56,C10.2,0.1597040152251159
57,C10.2,0.13863195766069136
58,C10.2,0.11755990009626593
59,C10.2,0.114232733112412
60,C10.2,0.13530479067683565
0,D5.2,0.3482434776436554
1,D5.2,0.38151514748222004
2,D5.2,0.3848423144660784
3,D5.2,0.35378875595008275
4,D5.2,0.1707945718379711
5,D5.2,0.08872445290284281
6,D5.2,0.12421423406397958
7,D5.2,0.1031421764995546
8,D5.2,0.15415873691868942
9,D5.2,0.15194062559611776
10,D5.2,0.20406624167653797
11,D5.2,0.2484284681279596
12,D5.2,0.22292018791839174
13,D5.2,0.2927906945793799
14,D5.2,0.38595137012736425
15,D5.2,0.4103505946756463
16,D5.2,0.4558218767883524
17,D5.2,0.4325317079013571
18,D5.2,0.3482434776436567
19,D5.2,0.3260623644179459
20,D5.2,0.2661733587085271
21,D5.2,0.22402924357967668
22,D5.2,0.21182963130553567
23,D5.2,0.18077607278954133
24,D5.2,0.21072057564425162
25,D5.2,0.1707945718379711
26,D5.2,0.16081307088640218
27,D5.2,0.12975951237040606
28,D5.2,0.1308685680316919
29,D5.2,0.07652484062870091
30,D5.2,0.08207011893512961
31,D5.2,0.048798449096562724
32,D5.2,0.006654333967713644
33,D5.2,-0.012199612274141458
34,D5.2,-0.015526779257998058
35,D5.2,1.3322676295501878e-15
36,D5.2,-0.07208861798355981
37,D5.2,-0.06543428401584617
38,D5.2,-0.05434372740299098
39,D5.2,-0.09537878687055468
40,D5.2,-0.09981500951569755
41,D5.2,-0.11090556612855273
42,D5.2,-0.14085006898326213
43,D5.2,-0.14417723596711873
44,D5.2,-0.11977801141883715
45,D5.2,-0.15194062559611643
46,D5.2,-0.18188512845082627
47,D5.2,-0.18743040675725364
48,D5.2,-0.19186662940239652
49,D5.2,-0.20517529733782336
50,D5.2,-0.22846546622482
51,D5.2,-0.2506465794505299
52,D5.2,-0.2517556351118144
53,D5.2,-0.24731941246667155
54,D5.2,-0.27726391532138317
55,D5.2,-0.2794820266439526
56,D5.2,-0.2894635275955224
57,D5.2,-0.2994450285470922
58,D5.2,-0.3083174738373775
59,D5.2,-0.3072084181760917
60,D5.2,-0.33049858706308743
0,D6.2,0.1430681803058338
1,D6.2,0.23511980019253143
2,D6.2,0.42920454091749916
3,D6.2,0.5667274429169038
4,D6.2,0.7275405138033069
5,D6.2,0.8329008016254327
6,D6.2,1.0558209895438226
7,D6.2,1.2687596765106446
8,D6.2,1.561550371090024
9,D6.2,1.7378902212344225
10,D6.2,2.026244693168662
11,D6.2,2.408868896312169
12,D6.2,2.6450977521659866
13,D6.2,3.0510121241964896
14,D6.2,3.1596995790024707
15,D6.2,3.2994405923244488
16,D6.2,3.6133033444682523
17,D6.2,3.8218058087899323
18,D6.2,3.9604377664506245
19,D6.2,4.205539067594724
20,D6.2,4.416259643238976
21,D6.2,4.632525497189654
22,D6.2,4.923098080446462
23,D6.2,5.116073765510144
24,D6.2,5.31570378454154
25,D6.2,5.490934579024652
26,D6.2,5.671710651814195
27,D6.2,5.835850889684453
28,D6.2,6.022172240780423
29,D6.2,6.191857756957108
30,D6.2,6.438068113762496
31,D6.2,6.59555401766504
32,D6.2,6.723095418712876
33,D6.2,6.861727376373568
34,D6.2,7.021431391598684
35,D6.2,7.208861798355938
36,D6.2,7.287604750307211
37,D6.2,7.39740126077448
38,D6.2,7.540469441080313
39,D6.2,7.615885226047728
40,D6.2,7.710154957256999
41,D6.2,7.827714857353265
42,D6.2,7.903130642320678
43,D6.2,7.992964150884807
44,D6.2,8.056180323578081
45,D6.2,8.104978772674649
46,D6.2,8.14601383214221
47,D6.2,8.228083951077341
48,D6.2,8.27022806620619
49,D6.2,8.300172569060901
50,D6.2,8.325680849270466
51,D6.2,8.36671590873803
52,D6.2,8.442131693705447
53,D6.2,8.485384864495586
54,D6.2,8.49536636544715
55,D6.2,8.524201812640577
56,D6.2,8.596290430624135
57,D6.2,8.620689655172416
58,D6.2,8.648416046704554
59,D6.2,8.687232994849548
60,D6.2,8.704977885430118
0,D7.2,0.49131165794949005
1,D7.2,0.36266120124036716
2,D7.2,0.45803998811092317
3,D7.2,0.5012931589010581
4,D7.2,0.5323467174170537
5,D7.2,0.5312376617557697
6,D7.2,0.6288345599488943
7,D7.2,0.5711636655620471
8,D7.2,0.8273555233190049
9,D7.2,0.8129377997222926
10,D7.2,0.7963019648030101
11,D7.2,0.9293886441572736
12,D7.2,1.0524938225599674
13,D7.2,1.0924198263662457
14,D7.2,1.106837549962958
15,D7.2,1.1212552735596693
16,D7.2,1.2388151736559356
17,D7.2,1.2831774001073568
18,D7.2,1.2221793387366522
19,D7.2,1.2665415651880738
20,D7.2,1.2809592887847865
21,D7.2,1.3208852925910644
22,D7.2,1.3419573501554893
23,D7.2,1.4040644671874793
24,D7.2,1.4062825785100506
25,D7.2,1.452862916284042
26,D7.2,1.4650625285581835
27,D7.2,1.4894617531064633
28,D7.2,1.5160790889773175
29,D7.2,1.5393692578643123
30,D7.2,1.6347480447348706
31,D7.2,1.7012913844120012
32,D7.2,1.7057276070571432
33,D7.2,1.7689437797504177
34,D7.2,1.8199603401695517
35,D7.2,1.8576682326532623
36,D7.2,1.8754131232338285
37,D7.2,1.9375202402658198
38,D7.2,1.9807734110559547
39,D7.2,2.0151541365558066
40,D7.2,2.0151541365558057
41,D7.2,2.0661706969749405
42,D7.2,2.0606254186685122
43,D7.2,2.1094238677650745
44,D7.2,2.137150259297214
45,D7.2,2.1127510347489338
46,D7.2,2.129386869668216
47,D7.2,2.1338230923133574
48,D7.2,2.1438045932649272
49,D7.2,2.143804593264928
50,D7.2,2.1338230923133565
51,D7.2,2.147131760248784
52,D7.2,2.154895149877783
53,D7.2,2.1715309847970667
54,D7.2,2.154895149877782
55,D7.2,2.154895149877783
56,D7.2,2.1670947621519243
57,D7.2,2.1504589272326404
58,D7.2,2.144913648926213
59,D7.2,2.161549483845496
60,D7.2,2.1338230923133565
0,D8.2,-1.14343638678538
1,D8.2,-1.246578563284936
2,D8.2,-1.2465785632849347
3,D8.2,-1.209979726462513
4,D8.2,-1.1744899453013757
5,D8.2,-1.1334548858338098
6,D8.2,-1.035857987640684
7,D8.2,-0.9759689819312656
8,D8.2,-0.863954360141427
9,D8.2,-0.8317917459641464
10,D8.2,-0.759703127980587
11,D8.2,-0.5911266674651867
12,D8.2,-0.5312376617557679
13,D8.2,-0.5223652164654844
14,D8.2,-0.44916754282063964
15,D8.2,-0.42365926261107134
16,D8.2,-0.35267970028879825
17,D8.2,-0.31940803045023225
18,D8.2,-0.3693155352080808
19,D8.2,-0.2983359728858077
20,D8.2,-0.32828047574051666
21,D8.2,-0.31164464082123455
22,D8.2,-0.28059108230523977
23,D8.2,-0.32162614177280346
24,D8.2,-0.3493525333049412
25,D8.2,-0.38040609182093776
26,D8.2,-0.3914966484337916
27,D8.2,-0.40369626070793396
28,D8.2,-0.40147814938536186
29,D8.2,-0.40147814938536186
30,D8.2,-0.38040609182093643
31,D8.2,-0.39815098240150526
32,D8.2,-0.44694943149806843
33,D8.2,-0.4502765984819246
34,D8.2,-0.4414041531916397
35,D8.2,-0.4469494314980671
36,D8.2,-0.49242071361077544
37,D8.2,-0.5068384372074859
38,D8.2,-0.4680214890624934
39,D8.2,-0.5245833277880543
40,D8.2,-0.5423282183686227
41,D8.2,-0.5412191627073377
42,D8.2,-0.5744908325459042
43,D8.2,-0.5877995004813306
44,D8.2,-0.5889085561426155
45,D8.2,-0.6243983373037518
46,D8.2,-0.647688506190748
47,D8.2,-0.6731967864003159
48,D8.2,-0.6865054543357418
49,D8.2,-0.7075775119001677
50,D8.2,-0.7275405138033069
51,D8.2,-0.7275405138033073
52,D8.2,-0.7541578496741597
53,D8.2,-0.7452854043838739
54,D8.2,-0.7663574619483007
55,D8.2,-0.768575573270871
56,D8.2,-0.7763389628998696
57,D8.2,-0.7963019648030087
58,D8.2,-0.810719688399721
59,D8.2,-0.7974110204642937
60,D8.2,-0.8207011893512912
0,D10.2,0.354897811611369
1,D10.2,0.39038759277250534
2,D10.2,0.5112746598526288
3,D10.2,0.5035112702236297
4,D10.2,0.5611821646104769
5,D10.2,0.5789270551910466
6,D10.2,0.7353039034323055
7,D10.2,0.8184830780287213
8,D10.2,0.9005531969638492
9,D10.2,0.9382610894475576
10,D10.2,1.0158949857375452
11,D10.2,1.197780114188372
12,D10.2,1.2765230661396436
13,D10.2,1.3231034039136351
14,D10.2,1.4107188011551925
15,D10.2,1.4340089700421887
16,D10.2,1.5926039296060197
17,D10.2,1.5792952616705929
18,D10.2,1.4872436417838943
19,D10.2,1.457299138929185
20,D10.2,1.4051735228487647
21,D10.2,1.4351180257034737
22,D10.2,1.4517538606227558
23,D10.2,1.4506448049614713
24,D10.2,1.4872436417838948
25,D10.2,1.5094247550096047
26,D10.2,1.523842478606317
27,D10.2,1.49057080876775
28,D10.2,1.5138609776547476
29,D10.2,1.5072066436870326
30,D10.2,1.5770771503480212
31,D10.2,1.5759680946867354
32,D10.2,1.578186206009308
33,D10.2,1.5637684824125961
34,D10.2,1.5926039296060188
35,D10.2,1.6114578758478735
36,D10.2,1.5726409277028788
37,D10.2,1.5804043173318787
38,D10.2,1.6003673192350183
39,D10.2,1.587058651299592
40,D10.2,1.5837314843157353
41,D10.2,1.5926039296060197
42,D10.2,1.5748590390254509
43,D10.2,1.595931096589875
44,D10.2,1.5792952616705938
45,D10.2,1.56044131542874
46,D10.2,1.561550371090025
47,D10.2,1.5260605899288873
48,D10.2,1.5426964248481703
49,D10.2,1.5304968125740297
50,D10.2,1.5138609776547458
51,D10.2,1.4983341983967486
52,D10.2,1.51053381067089
53,D10.2,1.4994432540580362
54,D10.2,1.4894617531064647
55,D10.2,1.4650625285581835
56,D10.2,1.4816983634774674
57,D10.2,1.4284636917357618
58,D10.2,1.443990470993758
59,D10.2,1.43400897004219
60,D10.2,1.43622708136476
0,E5.2,0.271718637014954
1,E5.2,0.40702342769178834
2,E5.2,0.5323467174170524
3,E5.2,0.6676515080938881
4,E5.2,0.8140468553835776
5,E5.2,0.951569757382984
6,E5.2,1.1423273311240942
7,E5.2,1.2909407897363558
8,E5.2,1.4462085823163298
9,E5.2,1.5371511465417425
10,E5.2,1.7345630542505681
11,E5.2,1.9341930732819628
12,E5.2,2.1493498715713555
13,E5.2,2.263582604683763
14,E5.2,2.5253197407471495
15,E5.2,2.607389859682278
16,E5.2,2.7826206541653913
17,E5.2,2.889089997648803
18,E5.2,2.914598277858369
19,E5.2,3.0499030685352047
20,E5.2,3.124209797841335
21,E5.2,3.27171420079231
22,E5.2,3.3715292103080072
23,E5.2,3.5179245575976967
24,E5.2,3.6443569029842484
25,E5.2,3.776334526677225
26,E5.2,3.872822369209067
27,E5.2,3.9648739890957643
28,E5.2,4.089088223159744
29,E5.2,4.141213839240163
30,E5.2,4.295372576158852
31,E5.2,4.361915915835984
32,E5.2,4.443986034771115
33,E5.2,4.531601432012671
34,E5.2,4.611453439625228
35,E5.2,4.6946326142216455
36,E5.2,4.742322007656921
37,E5.2,4.839918905850049
38,E5.2,4.953042583301173
39,E5.2,5.007386310704165
40,E5.2,5.061730038107155
41,E5.2,5.164872214606708
42,E5.2,5.200361995767845
43,E5.2,5.280214003380404
44,E5.2,5.341212064751107
45,E5.2,5.381138068557389
46,E5.2,5.441027074266805
47,E5.2,5.483171189395657
48,E5.2,5.531969638492218
49,E5.2,5.534187749814792
50,E5.2,5.594076755524209
51,E5.2,5.643984260282058
52,E5.2,5.669492540491626
53,E5.2,5.712745711281761
54,E5.2,5.738253991491325
55,E5.2,5.778179995297608
56,E5.2,5.830305611378027
57,E5.2,5.8380690010070255
58,E5.2,5.879104060474588
59,E5.2,5.922357231264726
60,E5.2,5.940102121845295
0,E6.2,-0.066543339677132
1,E6.2,0.16857646051539898
2,E6.2,0.3393710323533723
3,E6.2,0.29389975024066484
4,E6.2,0.34158914367594173
5,E6.2,0.4635852664173514
6,E6.2,0.6743058420616008
7,E6.2,0.8506456922060015
8,E6.2,1.125691496204813
9,E6.2,1.2576691198977885
10,E6.2,1.51829720029989
11,E6.2,1.7489807778472795
12,E6.2,2.007390746926808
13,E6.2,2.154895149877782
14,E6.2,2.295745218861044
15,E6.2,2.422177564247594
16,E6.2,2.556373299263144
17,E6.2,2.6850237559722654
18,E6.2,2.8070198787136738
19,E6.2,3.019958565680496
20,E6.2,3.226242918679602
21,E6.2,3.4547083849044213
22,E6.2,3.7175545766290927
23,E6.2,3.990382269305333
24,E6.2,4.275409574255713
25,E6.2,4.498329762174103
26,E6.2,4.725686172737638
27,E6.2,4.971896529543025
28,E6.2,5.231415554283839
29,E6.2,5.433263684637805
30,E6.2,5.7648713273621786
31,E6.2,5.997773016232142
32,E6.2,6.262837319279383
33,E6.2,6.504611453439626
34,E6.2,6.810710815954432
35,E6.2,7.0724479520178205
36,E6.2,7.278732305016925
37,E6.2,7.554887164677025
38,E6.2,7.799988465821125
39,E6.2,8.040653544320087
40,E6.2,8.281318622819043
41,E6.2,8.531965202269575
42,E6.2,8.759321612833109
43,E6.2,9.023276860219063
44,E6.2,9.249524215121312
45,E6.2,9.474662514362278
46,E6.2,9.689819312651668
47,E6.2,9.930484391150628
48,E6.2,10.150077412085162
49,E6.2,10.36634326603584
50,E6.2,10.589263453954231
51,E6.2,10.828819476791903
52,E6.2,11.033994774129729
53,E6.2,11.27909607527383
54,E6.2,11.476507982982652
55,E6.2,11.70053722656233
56,E6.2,11.93122080410972
57,E6.2,12.154140992028113
58,E6.2,12.351552899736935
59,E6.2,12.58889081125204
60,E6.2,12.778539329331865
0,E7.2,-0.5323467174170537
1,E7.2,-0.45138565414321175
2,E7.2,-0.4114596503369321
3,E7.2,-0.4225502069497873
4,E7.2,-0.3682064795467963
5,E7.2,-0.3227351974340884
